question,answer,followUp,Grammar,Relevance
Are you a risk taker or do you stay away from risk?,"I am a risk taker. After I failed to clear JEE first time, though I had some other good college option, I risked taking a year drop. After an year, I failed to clear JEE again, but ended up in a better college which I wouldnt have got the first time. I like to take risk, because, whatever might be the outcome, I dont like to give up before even trying it.",what did you do to jee ?,1,1
How do you kill your time when you are not working?,As i wrote in earlier question that i like to do programming. So whenever i found some free time when i don't have work then i kill my time to do coding.,Is there any free time to get it to work?,3,3
When was the last time you thought outside the box and how did you do it? Why?,"About a few months back, I along with 3 other batch mates attended a hackathon organised by Mercedes Benz. According to the problem statement of the hackathon we were supposed to build something for the car of the future. So, as was the case with all other teams, the first thought that came to our mind was self driving cars. Most of the teams started implementing their ideas of self-driving cars, but all in vain because lets face it building a self-driving car in 24 hours is next to impossible. At that moment, I parted myself from the traditional way of thinking about innovations and came up with an idea which will enhance the experience of the driver. I came up with the idea of sentiment analysis of the passengers in the car and thought of changing the inside atmosphere of the car based on the current overall mood of the passengers. This worked well and the judges liked our idea and asked to add more feature to enhance the in-car direr experience over the next couple of months.  ",what was the main reason for your work ?,3,3
How would you be an asset to this organisation?  ,I can assure a fruitful effort from my side. I assure proper utilisation of time and skills from my side. The organisation's  growth through my small efforts will be my ultimate goal. ,what do you do to proper utilisation ?,2,2
How do you feel about working under a person who is younger to you?,"I feel great about that. I appreciate his/her hard work and intelligence for having them reached to a senior position at an young age. I will surely take good from that young person, collaborate and learn things.",what kind of work did you appreciate ?,3,3
Where do you see yourself five years from now?,"I see myself as an in-charge of project. Managing the project, and delivering the expected output.

Apart from work, I see myself as a more mature and calmer person five years from now.",How do you know if the project output is delivering the expected output and delivering out?,2,3
Tell us about a situation when your work has been criticized.,"Actually, this has not really happened yet to me in a professional capacity if perhaps a few instances from middle school or high school can be excused. However, if this were to happen in the right way (positive criticism), I think I would be able to handle it in a way it brings some improvement in my work or the organization. I will be willing to accomodate any suggestions or advice that I feel would make the work better. ",what did you want to accomodate ?,3,2
How would you be an asset to this organisation?  ,"I am a commited worker and don't waste time. I am open for co-operation and adjustments. I am a fast learner as well.

",How do you waste the time?,3,3
What strategies would you use to motivate your team?,"When working in a team I would generally divide the question into parts and will try to know different approaches for finding a solution or an approach to find a solution by asking other members to know and research on each part. After that, I will ask people for inputs on each part of the question and discuss various ideas provided by them and would go for the best possible solution. I would then join all the parts together with my team such that nothing is left out and getting the solution to the given problem.",what would generally divide the question into parts ?,3,3
What do people most often criticize about you?,"There are quite few things regarding me that most people criticize about.They are listed below.

1.Patience. (I have a lot of patience.)

2.Less ego.(Too less.) 

3.Acting silly in few situations.

4.Not thinking twice before doing few things.

5.Inability to stick to a particular schedule.(As I told you in the previous answer, I do not like schedules.)

6.Getting too excited for small things.",what type of things were too excited ?,3,3
"Have you worked with someone unprofessional, how did you handle it?","Not sure, if I can call it unprofessional, but my team 'sanskriti' the team of cultural Committee of the college and my other team -'Sahyog' the team of Mentorship Club of the college was a bit unprofessional. Handling such a team was a little tough as it use to happen many times that we have a meeting and then we come to a conclusion and the tasks are allotted to the juniors with some deadline dates. but they are not finished by that time, and many time, youhave to come forward, and either make it done by other set of juniors or sometimes do it by your own.",what is the name of the sanskriti club ?,2,1
Describe a time when your workload was heavy and how you handled it.,It was in the Jan 2017. When I was doing my internship and also the course work with many ongoing projects and also my own projects. At that time it was very hectic for me but finally managed it by deciding my priorities and finally I quit my internship.,what is one of the main effects of your work ?,3,2
"If you could learn some new skill, what would that be?","I am a very curious person by nature. I am always eager to learn new things. This question has brought up myriad of new skills which I would love to learn. However, given an opportunity, the first skill that I would love to learn is the skill to analyze languages which forms a major part of computational linguistics. Also, I am very eager to know about the latest technologies in the field of computational linguistics.

Given an opportunity, I would also love to learn hip-hop dance!",what is this question ?,3,1
Are you a self-motivator?,"yes, I think i am a self-motivator, let me tell you about my experience ,when i was in 12th standard i didn't study properly and got less marks but inside i knew i could have got a good score ,after that in engineering i keep on motivating myself. That is how i got somewhat better score.",what kind of score does you have ?,2,2
Have you ever made a mistake? How did you handle it?,"Yes sure i have made mistakes. The mistake of which i can recall is that of taking a year gap after twelfth standard for preparation of competitive exams. I was not that confident enough for taking the drop and also had no motivation initially. Even i suffered from illness in the mid too. I handle it in the way that i always had good faith in me, prepared hard for the exams never left hope and just went on for it. In the end this dedication gave a fruitful reward too.",what did you have to handle in his exams ?,2,1
"If you have problems at your workplace, how and to whom would you communicate it?"," If I have problems at my workplace, I would look for someone who I trust. This could be my boss, my colleague or just friend. Also if I can know someone who has been in a similar situation, I would like to hear about how he/she approached the problem.",who was your friend ?,3,3
Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",what did we want sense to do ?,1,1
Describe a situation in which you had to arrive at a compromise or help others to compromise. What was your role? What steps did you take? What was the result?,"Sometimes I compromise if some elder person or the person whom I respect wants something on which I don't agree.
For example, my grandparents love and they didn't want me to go out of the country for higher studies, so I am doing my masters from India only.I tried convincing them but it was all in vain.In the end the result is that we both are happy. ",Is this a good person for a person who is learning to push?,1,2
Are you a self-motivator?,Sometimes when there is no one around to motivate me I turn into self motivator. ,how do you turn off the motivate,1,2
What are your views about further studies?,"Further studies and staying in academics is what I always wanted. Academics always helps us to keep alive the child in us who has to learn, relearn and in the process may discover something that will have a standing impression on society and mankind. Further studies is what I would term as a synonym for research'.'",Would this be a good synonym for research purposes?,2,2
What are your views about further studies?,"Further studies and staying in academics is what I always wanted. Academics always helps us to keep alive the child in us who has to learn, relearn and in the process may discover something that will have a standing impression on society and mankind. Further studies is what I would term as a synonym for research'.'",Would this be a good synonym for research purposes?,3,2
When was the last time you thought outside the box and how did you do it? Why?,"About a few months back, I along with 3 other batch mates attended a hackathon organised by Mercedes Benz. According to the problem statement of the hackathon we were supposed to build something for the car of the future. So, as was the case with all other teams, the first thought that came to our mind was self driving cars. Most of the teams started implementing their ideas of self-driving cars, but all in vain because lets face it building a self-driving car in 24 hours is next to impossible. At that moment, I parted myself from the traditional way of thinking about innovations and came up with an idea which will enhance the experience of the driver. I came up with the idea of sentiment analysis of the passengers in the car and thought of changing the inside atmosphere of the car based on the current overall mood of the passengers. This worked well and the judges liked our idea and asked to add more feature to enhance the in-car direr experience over the next couple of months.  ",what was the main reason for your work ?,3,3
Are you a self-motivator?,"Yes, I am a self-motivator. I always think how the better or stronger version of myself would do a particular work and tend to be that person which is a big self motivating technique that allows me to be motivated every time. I always evaluate any performance by comparing my previous performance with my current performance and this motivates to be a better version of myself. It is one of the skills which I think plays an essential part in driving me towards success.",Is this a better version than the stronger version?,3,2
How do you handle change?,I have learned to be quite accepting of change and am always quickly ready with new plans to handle the changed scenario.,how did you view change to handle the change in change ?,1,2
What are the qualities that you seek in your manager?,"Smart, Cooperative, Friendly, Understanding, Strict (sometimes), Someone who acts like a leader and not like a boss. ",what is another name for `` smart '' ?,1,1
What do people most often criticize about you?,"I am not very social, which i hear a lot of times from my friends.
I am introvert so i avoid going into social gatherings. I have been criticised for this many times.",what do your avoid ?,2,1
Why shouldn't I hire you?,I am very good working alone but sometimes not so good working in teams. But i am trying to pick that up. My 2 yr work experience has taught me a lot.,"in teams , what is the main difference between teams ?",3,2
"Have you worked with someone unprofessional, how did you handle it?","Not sure, if I can call it unprofessional, but my team 'sanskriti' the team of cultural Committee of the college and my other team -'Sahyog' the team of Mentorship Club of the college was a bit unprofessional. Handling such a team was a little tough as it use to happen many times that we have a meeting and then we come to a conclusion and the tasks are allotted to the juniors with some deadline dates. but they are not finished by that time, and many time, youhave to come forward, and either make it done by other set of juniors or sometimes do it by your own.",what is the name of the sanskriti club ?,3,3
Why should you be hired from outside when someone could be promoted within the same organisation?,The person who is already within the organization is knowing the organization better and is a valuable resource. But if I get a chance I will definitely be putting more efforts to make the position successful in terms my efforts and proving my capabilities.,What is the difference between person and valuable resource,3,2
What do people most often criticize about you?,I am generally good to everyone and try to make them and myself happy about any stuff we talk about. When i have any quarrel or fight with anyone i excuse them after sometime. But the other person sometimes take advantage of this quality of mine and starts or makes a new issue and fights back. ,how did you compare to everyone ?,3,1
How will you perform under pressure? Will it affect your performance?,First of all I will not allow things to go so wrong so as to create some sort of pressure. Now if the pressure starts to build up then I will make use of my time to the best of the ability  to handle this pressure. Yes it will affect some  my performance but not very much.,what starts to build up then you will make your time ?,1,2
Have you ever made a mistake? How did you handle it?,"There have been many mistakes but none too serious to comment here. In general, when I make a mistake and if it affects my negatively, I try to be positive and make it right in whichever way possible.",Is there any way to make a mistake when it is right in the picture?,3,2
 Why shouldn't I hire you?,I don't give up easily on a thing. I try to explore all the avenues before calling it quits and sometimes it may result in time wasted. I realise that sometimes it's easier to give up because another way exists but I have a tendency to explore everything on a particular approach. I am trying to improve over it by taking it easy on myself if I don't complete a job and switch to next. as I am trying to realise on how wasted efforts are costlier. I have a short temper if work doesn't happen as it was supposed to happen. Earlier I would get worked upon very small things but now I have started practicing meditation to smoothen my transition and be more patient.,what do you believe it have a tendency to do ?,2,3
Give me an example of a time when you had to be quick in coming to a decision. What obstacles did you face?,"I was captain while I was at school and one day, along with a group of friends, I bunked Science class. Our teacher knew that we had bunked but she didn't know I was there too. So next class when she punished the rest, I owned up, on my own. She was surprised and told me that technically I had to lose my captaincy but since I was being honest when I could have easily gotten away, I get to keep it. ",what did our teacher say we had bunked ?,2,2
What can you do better for us than the other candidates for the job?,"My friends and teachers told me that I am very good in exploring new things to solve a problem, and that part is very useful when we stuck with some problem, and we need out of the box thinking.",what did you claim me very good about ?,1,2
Why shouldn't I hire you?,"My commitment can be a pain sometimes. I have worked throughout the night multiple times to get my deliverable complated. In such cases, i might bug everyone related to the product / system. ",how long have you worked to get your deliverable ?,3,3
Why should you be hired from outside when someone could be promoted within the same organisation?,I am applying as a fresher. So I don't think there is anyone with the same skill set who is below me in the organization.,what is below below me in the organization ?,2,2
What is the biggest challenge you have faced so far?,The biggest challenge I have faced so far is to not worry about things I can't change/ do anything about.,What is the difference between the biggest challenge and the professional challenge game?,2,3
How do you define success and how do you measure upto your own definition? ,"Success is in accomplishing tasks that would benefit a lot of people around you. I believe happiness is the unit of success. Accomplishing tasks against odds is the best form of success.

I am still in the pursuing stage 
",Does it benefit to a lot of people?,3,1
How do you handle change?,"It is said that change is the only constant in life, which is funny because it takes time to adapt to change. I am an optimist; so any change that occurs, I generally see it as a good one. But, more often than not, the opposite happens. I guess, to answer the question, all I can say is that I try to keep an open, unprejudiced mind about why the change is taking place and try my best to adapt to it in ways that benefit me.",what is the only constant in life ?,3,3
What was the toughest decision you ever had to make?  ,"I dont think I have made any such decision in which I was never sure about. I have some short term goals and some long term goals. I am felxible enough to mould my goals when it is utter necessity. Also, I am rigid enough, to make sure that I achieve what I want in life. So, I was never unsure about any big decisions I made in life.",Does it take big decisions,3,3
What has been your greatest leadership achievement in a professional environment?,"When I used to work at Opus Consulting Solutions, we had to give a project demo to the clients. On the previous day, a colleague updated the common code repository with her own local code, which caused the integrated code to fail. Thus, one day before the client meeting, the entire code was all over the place and was throwing exceptions. My manager asked me to do whatever was needed to get things to work. So, I had to communicate with the entire team to rollback to a previous state, but even then we were facing major integration problems. We had to re-integrate everything and finally we succeeded and got a clean error-free build. Communicating with the entire team during such a dire situation and trying to help each other out with whatever was needed really helped me in realizing the true meaning of leadership.",Do you have to have a project demo demo with this software or can you use it with any brand?,1,2
Give me an example of a time when you had to be quick in coming to a decision. What obstacles did you face?,"I was captain while I was at school and one day, along with a group of friends, I bunked Science class. Our teacher knew that we had bunked but she didn't know I was there too. So next class when she punished the rest, I owned up, on my own. She was surprised and told me that technically I had to lose my captaincy but since I was being honest when I could have easily gotten away, I get to keep it. ",what was the name of the group that you was captain ?,1,2
Why shouldn't I hire you?,"My commitment can be a pain sometimes. I have worked throughout the night multiple times to get my deliverable complated. In such cases, i might bug everyone related to the product / system. ",how long have you worked to get your deliverable ?,3,3
What strategies would you use to motivate your team?,"When working in a team I would generally divide the question into parts and will try to know different approaches for finding a solution or an approach to find a solution by asking other members to know and research on each part. After that, I will ask people for inputs on each part of the question and discuss various ideas provided by them and would go for the best possible solution. I would then join all the parts together with my team such that nothing is left out and getting the solution to the given problem.",what would generally divide the question into parts ?,3,2
Describe a decision you made that was a failure. What happened and why?,"Once we had to organize an event in our college. It was again a team work. We sat for a week together and planned to organize that event. But due to lack of coordination the event was not successful and we felt very bad. The day of our event there was miss communication and chaos. As a team we failed. It was for the first time, there was such an event and it was not that successful.",How long does it take to set-up?,3,2
What are the changes you would like to bring in this institute?,There needs to be a push to the cultural sctivities in the institute like formation of clubs or forum for different activities. That's the one thing that lacks right now.,what is the institute of clubs ?,3,1
Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",Is the team randomly chosen,3,3
Describe a time when your workload was heavy and how you handled it.,"The workload during my Second Semester and Summer Vacations 2016 was pretty much heavy. However, I like to be busy nowadays. So I do not think a workload is a pressure, but the means to go forward and learn new things. However, we need to manage the workload due to a daily routine. Time management is the necessary step here. And also, I have this tendency to finish up the work of my interest quickly so as to not mess up the work and team progress.",when do we need to manage the workload ?,3,3
What are the qualities that you seek in your manager?,"Smart, Cooperative, Friendly, Understanding, Strict (sometimes), Someone who acts like a leader and not like a boss. ",what is another name for `` smart '' ?,3,2
Tell me about a time you took the lead in a team project. What was the project outcome?,"We have took part in a hackathon  and our team needed to work on the project for 24 hrs, me being the team lead  had to manage the work in the limited time. I have distributed the work according to the capabilities of the person and made sure that the work being done is perfect. we have completed the project within the deadline and they we really satisfied with the idea and the work. We won the hackathon and won the first prize, which made me and my team the best among all the teams that have participated fro Bangalore .",what was the lead lead to 24 hrs ?,1,1
What is the difference between hard work and smart work?,"I would like to give a small example. Consider person A and person B want to get a flowery phone case for themselves, and both of them know that there is no way they can find it online, but is not impossible to find it outside if put in a little effort, as they don't exactly know which shop sells it. Person A tries to go to each and every shop to find that one perfect case for his phone, whereas person B gets a printout of a picture of that case, buys a transparent phone case, puts the picture to it and uses it, as it exactly resembles the case he wanted. Here what person B did was smart work and what person A did was hard work. Even though B finally got the case he wanted, he put in a lot of effort to do so, whereas A was smart enough to do what he did.
People say hard work pays off, which is true, but when needed one should be smart enough to get things done easily. There are many situations where only working hard would make one achieve their goal, though. For example, passing an exam. Being smart enough to cheat in a exam to pass is not 'smart work', though you pass the exam. Such work does not help in long term.",is it smart work,2,1
What motivates you to do a good job?,"Good job is itself a motivation to work. Comfortableness, security, payment, flexibility, work, encouragement, appreciation motivates to work for any employee. If the mentioned qualities are satisfied, i think everyone will be motivated to work.",Would the security flexibility work well for security purposes?,2,2
Why should you be hired from outside when someone could be promoted within the same organisation?,I am applying as a fresher. So I don't think there is anyone with the same skill set who is below me in the organization.,do you think this is a good skill set?,3,2
Who has inspired you in your life and why?,A lot of people have inspired me but mainly i would like yo say that my father is my inspiration. I have grown up watching him and i aspire to be like him in future,how many people have inspired you ?,3,3
How do you define success and how do you measure upto your own definition? ,Success according to me is that you started something which you are scared of and you completed properly. According to me I've started and completed many things properly so I'm stand at reasonable level at my definition.,what did you do at your definition ?,2,2
How do you balance life and work?,"Well this is a very interesting question. I usually dont carry work related stuffs after the office hours, unless it is life threatening :).  I want to spend quality time with my family after office hours. Weekends are like my stress busters. I will go for an outing with my family. That will help my to get refreshed and motivated to work again on monday :). Along with that, I will love to maintain my fitness. Being a morning guy I am going to gym before coming to office. which is a ",How do you get it motivated,2,1
Explain how would you be an asset to this organisation?,I would be an asset as I will put in my best effort. I will do the share of work allocated to me efficiently. I will try to create a friendly environment within the organization.  ,what did you think you would be an asset as ?,2,2
Have you ever made a mistake? How did you handle it?,"Yes sure i have made mistakes. The mistake of which i can recall is that of taking a year gap after twelfth standard for preparation of competitive exams. I was not that confident enough for taking the drop and also had no motivation initially. Even i suffered from illness in the mid too. I handle it in the way that i always had good faith in me, prepared hard for the exams never left hope and just went on for it. In the end this dedication gave a fruitful reward too.",Does anyone know if this is confident,1,1
 Why shouldn't I hire you?,I don't give up easily on a thing. I try to explore all the avenues before calling it quits and sometimes it may result in time wasted. I realise that sometimes it's easier to give up because another way exists but I have a tendency to explore everything on a particular approach. I am trying to improve over it by taking it easy on myself if I don't complete a job and switch to next. as I am trying to realise on how wasted efforts are costlier. I have a short temper if work doesn't happen as it was supposed to happen. Earlier I would get worked upon very small things but now I have started practicing meditation to smoothen my transition and be more patient.,Is this easier to explore on a approach,2,2
How do you feel about working under a person who is younger to you?,"I feel great about that. I appreciate his/her hard work and intelligence for having them reached to a senior position at an young age. I will surely take good from that young person, collaborate and learn things.",what kind of work did you appreciate ?,3,3
Give an example of how you worked in team.,"I once worked in a team of 5 individuals. 2 of them(including myself) are interested in working on the technicalities of the project while others are not. Hence, we divided the project work among ourselves depending on our interests. 2 of us worked on the technicalities of the project, one on implementation of those technicalities and while rest two of them helped in documentation of the project. But each time we ensured that we discuss with each other about our work during our meetings in order to ensure that everything is going in a right manner.",what was the focus of the project ?,3,3
What was the toughest decision you ever had to make?  ,"I dont think I have made any such decision in which I was never sure about. I have some short term goals and some long term goals. I am felxible enough to mould my goals when it is utter necessity. Also, I am rigid enough, to make sure that I achieve what I want in life. So, I was never unsure about any big decisions I made in life.",Do you have any short term goals goals,1,1
What obstacles or difficulties have you ever faced in communicating your ideas?,"Sometimes it happens that I am unable to express what I want to tell because of demotivation from other parties. But still I don't lose hope and stick with my ideas and try to explain that in some innovative and real examples. One day, I and my project partners were discussing on project idea. At that time, my idea was good and new but problem was that I don't have any proof to prove that my idea will work very well. But after some days of research, I found actual proof that it is possible to implement and then we all would agreed on that topic. For the newer person, it is natural to have some difficulties in communicating but after some efforts you will surely get confidence to explain it in better way. ",what did you believe was good and new about your idea ?,2,3
Give an example of how you worked in team.,"I once worked in a team of 5 individuals. 2 of them(including myself) are interested in working on the technicalities of the project while others are not. Hence, we divided the project work among ourselves depending on our interests. 2 of us worked on the technicalities of the project, one on implementation of those technicalities and while rest two of them helped in documentation of the project. But each time we ensured that we discuss with each other about our work during our meetings in order to ensure that everything is going in a right manner.",what was the focus of the project ?,3,3
What has been your greatest leadership achievement in a professional environment?,"Ensuring that my team works together as one, for the project, even though the team members don't really, well, do things together. As part of a course, say, XYZ, we were randomly assigned teammates. In my team, a couple of them had a history which was so bad, that they refused to see each other eye-to-eye (literally). By tapping their passion for the project and making them understand the overall outcome, I managed to extract usefulness and productivity thus making the project a success. I didn't really solve their feud. But I manage to make them work together for some time, for a greater good/deed. This i one leadership achievement I feel has been my greatest.",Can you extract the overall project and making the project a success to productivity,2,2
Why should you be hired from outside when someone could be promoted within the same organisation?,I am applying as a fresher. So I don't think there is anyone with the same skill set who is below me in the organization.,do you think this is a good skill set?,3,2
How do you balance life and work?,"Well this is a very interesting question. I usually dont carry work related stuffs after the office hours, unless it is life threatening :).  I want to spend quality time with my family after office hours. Weekends are like my stress busters. I will go for an outing with my family. That will help my to get refreshed and motivated to work again on monday :). Along with that, I will love to maintain my fitness. Being a morning guy I am going to gym before coming to office. which is a ",what happens to refreshed ?,1,2
Why will you resign from a job?,"I will consider resignation when the sparkles are no more in my eyes, and I see no significance in the work I do. I do not go behind a big pay, rather look for an interesting job. If any job that has stopped giving me such challenging jobs, I will quit.","according to you , who has stopped giving giving me ?",1,1
How would you convince your client with your ideas?,I will explain him about my idea and its applications in all possible ways till he gets convinced. Also I would like to show some pictorial presentations instead of explaining in words. This can make him connect to my ideas. I will explain by starting with the problem and how my idea can solve it. ,what did you believe he will explain him ?,3,3
What has been your greatest leadership achievement in a professional environment?,"Ensuring that my team works together as one, for the project, even though the team members don't really, well, do things together. As part of a course, say, XYZ, we were randomly assigned teammates. In my team, a couple of them had a history which was so bad, that they refused to see each other eye-to-eye (literally). By tapping their passion for the project and making them understand the overall outcome, I managed to extract usefulness and productivity thus making the project a success. I didn't really solve their feud. But I manage to make them work together for some time, for a greater good/deed. This i one leadership achievement I feel has been my greatest.",Can you extract the overall project and making the project a success to productivity,3,2
What is the biggest challenge you have faced so far?,"I was totally new in data science field. I like this area but i don't have that much idea about it. But I have to select specialisation within one day. I don't have sufficient time to think over that. I was completely new in this field. I am so much confused and don't have any idea about anything. So, I communicated with seniors and faculty members to know that what is actual going in each subject. After basic idea of each course, i started surfing about details of each topics on google. After getting clear idea about everything i selected my liking specialisation.  ",Is this totally new in science or is it totally refurbished?,3,1
Why shouldn't I hire you?,"My commitment can be a pain sometimes. I have worked throughout the night multiple times to get my deliverable complated. In such cases, i might bug everyone related to the product / system. ",how long have you worked to get your deliverable ?,3,3
What are the strategies you think one should have to perform well in such an interview?,Confidence is the first thing and then good knowledge you should know what you're speaking.  Getting to know what kind of interview you are attending before hand and preparing specifically for that will automatically give you some confidence. I usually have a lot of stage fever to talk to a large mass of people.,what is an example of a person who believes that hand will automatically give confidence ?,2,1
"If you have problems at your workplace, how and to whom would you communicate it?",If I have any problem at my workplace then first I will try to understand my problem deeply and will try to solve  by own if possible . If not I will inform  my seniors and will seek for help. ,what do your do to your seniors ?,2,3
"If you could relive the last 10 years of your life, what would you do differently?","Doing something differently from whatever i am currently doing, may be i would think of making my career in some artistic field related to my hobbies. For now whatever I do regarding my artistic interest, it's a part of my hobby and not as a career point of  view. Since now more of the facilities available to implement something entirely different as a career aspect, may be that's what i would have gone for.","in addition to hobbies , what else can be related to your hobbies ?",1,3
Are you a self-motivator?,"yes, I think i am a self-motivator, let me tell you about my experience ,when i was in 12th standard i didn't study properly and got less marks but inside i knew i could have got a good score ,after that in engineering i keep on motivating myself. That is how i got somewhat better score.",what kind of score does you have ?,1,1
Why should I take a risk on you?,I can do the work assigned to me on time.i work hard to achieve the goals set by you.then you would be definitely happy  with my work.you can believe my words because i was  the team lead in our batch in college.i managed to deal with every member of the group and make them work in gentle manner.,what is the purpose of college.i ?,2,2
Where do you see yourself five years from now?,"I see my self as a happy well settled man with a good job in the IT sector , with a family and a car and house of my own.",what kind of job is you west ?,2,2
Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",what did the team have to compensate ?,2,2
Are you a risk taker or do you stay away from risk?,"I would like to neither agree nor disagree with the fact that I am an absolute risk taker. I prefer calculative risks over instantaneous mindless experiments as these usually turn out to be successful and even if the dont they provide a chance to atleast traceback and determine where I went wrong. So that I dont repeat the same mistake again in the future. But when it comes to situations in which my the failure of my risks are likely to have an adverse effect on the others, I usually refrain myself from taking such risks and like to play it safe in order to ensure their well-being. ",Do you usually usually refrain like an adverse effect in order to ensure the safe risks,2,3
Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",Does the whole project generate progress due to the project being completed or does it only work as a completed surface?,2,3
Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",what did you think did not meet the work ?,2,3
