,question,answer,question_keywords,answer_keywords
122,Tell me about a time when you misjudged a person.,"Many instances for me on this. A Client, wont name, slammed our tech product and heavily criticized it. We made improvements and reached out to him again, only to find out he did that for our own good. Such things happen and these people just know how to react.","time, tell, person, misjudged, ","wont name, things happen, tech product, many instances, made improvements, heavily criticized, slammed, react, reached, people, know, good, find, client, "
123,What are your views about further studies?,"Further studies and staying in academics is what I always wanted. Academics always helps us to keep alive the child in us who has to learn, relearn and in the process may discover something that will have a standing impression on society and mankind. Further studies is what I would term as a synonym for research'.'","views, studies, ","process may discover something, academics always helps us, always wanted, would term, standing impression, research '.', keep alive, us, academics, synonym, studies, staying, society, relearn, mankind, learn, child, "
124,What is your dream job?,"My dream job is to be a pilot. In-fact it's been a childhood obsession, after my first encounter with planes. The fact that, I am flying among the clouds with only the sky being the limit is truly fascinating. True, it's got it's own dangers and precautions, but travelling around the world totally changes the perspective. I could cross countries and continents, in matters of hours. And the best part, getting paid for it. Gives it a whole new dimension. Unfortunately, this dream job will always remain a 'dream' to me, thanks to my eyesight being too shortsighted. So, here I am coding and writing software to become one of the many IT guys","dream job, ","world totally changes, whole new dimension, could cross countries, writing software, truly fascinating, travelling around, getting paid, flying among, first encounter, childhood obsession, best part, become one, always remain, dream job, dream, unfortunately, true, thanks, sky, shortsighted, precautions, planes, pilot, perspective, matters, many, limit, hours, guys, got, gives, fact, eyesight, dangers, continents, coding, clouds, "
125,What do people most often criticize about you?,"There are quite few things regarding me that most people criticize about.They are listed below.

1.Patience. (I have a lot of patience.)

2.Less ego.(Too less.) 

3.Acting silly in few situations.

4.Not thinking twice before doing few things.

5.Inability to stick to a particular schedule.(As I told you in the previous answer, I do not like schedules.)

6.Getting too excited for small things.","often criticize, people, ","like schedules .), less .), thinking twice, previous answer, people criticize, particular schedule, less ego, acting silly, patience .), things regarding, small things, things, patience, told, stick, situations, quite, lot, listed, inability, getting, excited, 6, 5, 4, 3, 2, 1, "
126,What has been your best career move so far?,Pursuing MS from IIT KGP and Publishing research articles,"best career move, far, ","publishing research articles, pursuing ms, iit kgp, "
127,Tell me about a time you took the lead in a team project. What was the project outcome?,"We have took part in a hackathon  and our team needed to work on the project for 24 hrs, me being the team lead  had to manage the work in the limited time. I have distributed the work according to the capabilities of the person and made sure that the work being done is perfect. we have completed the project within the deadline and they we really satisfied with the idea and the work. We won the hackathon and won the first prize, which made me and my team the best among all the teams that have participated fro Bangalore .","team project, project outcome, took, time, tell, lead, ","participated fro bangalore, took part, really satisfied, limited time, first prize, best among, 24 hrs, team needed, team lead, work according, project within, made sure, team, work, project, made, teams, person, perfect, manage, idea, hackathon, done, distributed, deadline, completed, capabilities, "
128,What are your views about further studies?,"Further studies and staying in academics is what I always wanted. Academics always helps us to keep alive the child in us who has to learn, relearn and in the process may discover something that will have a standing impression on society and mankind. Further studies is what I would term as a synonym for research'.'","views, studies, ","process may discover something, academics always helps us, always wanted, would term, standing impression, research '.', keep alive, us, academics, synonym, studies, staying, society, relearn, mankind, learn, child, "
129,Do you consider yourself successful? Why?,Partially. Have a lot of things that I haven't achieved yet.,"successful, consider, ","achieved yet, things, partially, lot, "
130,What was the toughest decision you ever had to make?  ,"I dont think I have made any such decision in which I was never sure about. I have some short term goals and some long term goals. I am felxible enough to mould my goals when it is utter necessity. Also, I am rigid enough, to make sure that I achieve what I want in life. So, I was never unsure about any big decisions I made in life.","toughest decision, make, ever, ","short term goals, long term goals, utter necessity, rigid enough, never unsure, never sure, make sure, felxible enough, dont think, big decisions, goals, want, mould, made, life, decision, also, achieve, "
131,What are the strategies you think one should have to perform well in such an interview?,Confidence is the first thing and then good knowledge you should know what you're speaking.  Getting to know what kind of interview you are attending before hand and preparing specifically for that will automatically give you some confidence. I usually have a lot of stage fever to talk to a large mass of people.,"think one, perform well, strategies, interview, ","stage fever, preparing specifically, large mass, good knowledge, first thing, automatically give, usually, talk, speaking, people, lot, know, kind, interview, hand, getting, confidence, attending, "
132,Tell me about a time when you misjudged a person.,"Many instances for me on this. A Client, wont name, slammed our tech product and heavily criticized it. We made improvements and reached out to him again, only to find out he did that for our own good. Such things happen and these people just know how to react.","time, tell, person, misjudged, ","wont name, things happen, tech product, many instances, made improvements, heavily criticized, slammed, react, reached, people, know, good, find, client, "
133,"Are you an organised or a disorganised person, in what ways?","Well i am not an organised person. Starting from the basic thing , my room is not at all organised (only i can find my belongings in the room no one else) . Secondly coming to my studies i dont have a time table and i just study topics randomly . I have no fixed plans for the day and i just go with the flow. So in the sense yes i am not organised","disorganised person, ways, organised, ","study topics randomly, time table, sense yes, secondly coming, one else, fixed plans, basic thing, organised person, organised, well, studies, starting, room, go, flow, find, dont, day, belongings, "
134,Where do you see yourself five years from now?,"Five years from now,with some very useful industry experience with me, I see myself teaching in some good college or pursuing a Phd from some good university which would further help me pursue my dream of teaching.","five years, see, ","useful industry experience, good university, good college, five years, would, teaching, see, pursuing, pursue, phd, help, dream, "
135,Tell me about a time when you misjudged a person.,"During a tendering process, where i felt this colleague was being too much of a stickler for details. He was providing too much detail to the customer. But it was this detail-oriented approach which one us the order. ","time, tell, person, misjudged, ","tendering process, oriented approach, one us, much detail, much, detail, stickler, providing, order, felt, details, customer, colleague, "
136,Give an example of how you worked in team.,During my B.tech project we were in team of five members. So when we stuck somewhere we solve the problem in group as a team.when ever we face problem all of us start to find the solution.If anyone of us finds the solution then he explains to other team members and we start doing our work. Also if someone dont want to come in our project meeting  then we dont say that you have to come or something like that we are ok if someone is stuck with some other work. ,"worked, team, give, example, ","someone dont want, dont say, us finds, tech project, something like, project meeting, five members, us start, team members, stuck somewhere, face problem, someone, team, stuck, start, problem, work, solve, solution, ok, group, find, explains, ever, come, b, anyone, also, "
137,Are you a risk taker or do you stay away from risk?,"I am a risk taker. After I failed to clear JEE first time, though I had some other good college option, I risked taking a year drop. After an year, I failed to clear JEE again, but ended up in a better college which I wouldnt have got the first time. I like to take risk, because, whatever might be the outcome, I dont like to give up before even trying it.","stay away, risk taker, risk, ","clear jee first time, good college option, first time, clear jee, better college, whatever might, take risk, risked taking, risk taker, even trying, year drop, dont like, year, like, wouldnt, though, outcome, got, give, failed, ended, "
138,How do you kill your time when you are not working?,As i wrote in earlier question that i like to do programming. So whenever i found some free time when i don't have work then i kill my time to do coding.,"working, time, kill, ","earlier question, free time, time, wrote, work, whenever, programming, like, kill, found, coding, "
139,When was the last time you thought outside the box and how did you do it? Why?,"About a few months back, I along with 3 other batch mates attended a hackathon organised by Mercedes Benz. According to the problem statement of the hackathon we were supposed to build something for the car of the future. So, as was the case with all other teams, the first thought that came to our mind was self driving cars. Most of the teams started implementing their ideas of self-driving cars, but all in vain because lets face it building a self-driving car in 24 hours is next to impossible. At that moment, I parted myself from the traditional way of thinking about innovations and came up with an idea which will enhance the experience of the driver. I came up with the idea of sentiment analysis of the passengers in the car and thought of changing the inside atmosphere of the car based on the current overall mood of the passengers. This worked well and the judges liked our idea and asked to add more feature to enhance the in-car direr experience over the next couple of months.  ","thought outside, last time, box, ","current overall mood, batch mates attended, teams started implementing, car direr experience, self driving cars, driving cars, driving car, worked well, traditional way, sentiment analysis, problem statement, mercedes benz, lets face, judges liked, inside atmosphere, car based, build something, 24 hours, next couple, months back, hackathon organised, first thought, teams, self, experience, car, thought, next, months, hackathon, vain, thinking, supposed, passengers, parted, moment, mind, innovations, impossible, ideas, idea, future, feature, enhance, driver, changing, case, came, building, asked, along, add, according, 3, "
140,How would you be an asset to this organisation?  ,I can assure a fruitful effort from my side. I assure proper utilisation of time and skills from my side. The organisation's  growth through my small efforts will be my ultimate goal. ,"would, organisation, asset, ","assure proper utilisation, ultimate goal, small efforts, fruitful effort, assure, time, skills, side, organisation, growth, "
141,How do you feel about working under a person who is younger to you?,"I feel great about that. I appreciate his/her hard work and intelligence for having them reached to a senior position at an young age. I will surely take good from that young person, collaborate and learn things.","younger, working, person, feel, ","surely take good, young person, young age, senior position, learn things, hard work, feel great, reached, intelligence, collaborate, appreciate, "
142,Where do you see yourself five years from now?,"I see myself as an in-charge of project. Managing the project, and delivering the expected output.

Apart from work, I see myself as a more mature and calmer person five years from now.","five years, see, ","calmer person five years, expected output, work, see, project, mature, managing, delivering, charge, apart, "
143,Tell us about a situation when your work has been criticized.,"Actually, this has not really happened yet to me in a professional capacity if perhaps a few instances from middle school or high school can be excused. However, if this were to happen in the right way (positive criticism), I think I would be able to handle it in a way it brings some improvement in my work or the organization. I will be willing to accomodate any suggestions or advice that I feel would make the work better. ","tell us, work, situation, criticized, ","really happened yet, positive criticism ),, feel would make, professional capacity, middle school, high school, work better, right way, would, work, way, willing, think, suggestions, perhaps, organization, instances, improvement, however, happen, handle, excused, brings, advice, actually, accomodate, able, "
144,How would you be an asset to this organisation?  ,"I am a commited worker and don't waste time. I am open for co-operation and adjustments. I am a fast learner as well.

","would, organisation, asset, ","waste time, fast learner, commited worker, well, operation, open, co, adjustments, "
145,What strategies would you use to motivate your team?,"When working in a team I would generally divide the question into parts and will try to know different approaches for finding a solution or an approach to find a solution by asking other members to know and research on each part. After that, I will ask people for inputs on each part of the question and discuss various ideas provided by them and would go for the best possible solution. I would then join all the parts together with my team such that nothing is left out and getting the solution to the given problem.","strategies would, use, team, motivate, ","discuss various ideas provided, would generally divide, know different approaches, best possible solution, would go, given problem, ask people, parts together, would, solution, know, parts, working, try, team, research, question, part, nothing, members, left, join, inputs, getting, finding, find, asking, approach, "
146,What do people most often criticize about you?,"There are quite few things regarding me that most people criticize about.They are listed below.

1.Patience. (I have a lot of patience.)

2.Less ego.(Too less.) 

3.Acting silly in few situations.

4.Not thinking twice before doing few things.

5.Inability to stick to a particular schedule.(As I told you in the previous answer, I do not like schedules.)

6.Getting too excited for small things.","often criticize, people, ","like schedules .), less .), thinking twice, previous answer, people criticize, particular schedule, less ego, acting silly, patience .), things regarding, small things, things, patience, told, stick, situations, quite, lot, listed, inability, getting, excited, 6, 5, 4, 3, 2, 1, "
147,"Have you worked with someone unprofessional, how did you handle it?","Not sure, if I can call it unprofessional, but my team 'sanskriti' the team of cultural Committee of the college and my other team -'Sahyog' the team of Mentorship Club of the college was a bit unprofessional. Handling such a team was a little tough as it use to happen many times that we have a meeting and then we come to a conclusion and the tasks are allotted to the juniors with some deadline dates. but they are not finished by that time, and many time, youhave to come forward, and either make it done by other set of juniors or sometimes do it by your own.","someone unprofessional, worked, handle, ","happen many times, team -' sahyog, mentorship club, many time, little tough, either make, deadline dates, cultural committee, come forward, bit unprofessional, team, unprofessional, time, come, youhave, use, tasks, sure, sometimes, set, sanskriti, meeting, juniors, handling, finished, done, conclusion, college, call, allotted, "
148,Describe a time when your workload was heavy and how you handled it.,It was in the Jan 2017. When I was doing my internship and also the course work with many ongoing projects and also my own projects. At that time it was very hectic for me but finally managed it by deciding my priorities and finally I quit my internship.,"workload, time, heavy, handled, describe, ","many ongoing projects, jan 2017, course work, finally managed, projects, finally, time, quit, priorities, internship, hectic, deciding, also, "
149,"If you could learn some new skill, what would that be?","I am a very curious person by nature. I am always eager to learn new things. This question has brought up myriad of new skills which I would love to learn. However, given an opportunity, the first skill that I would love to learn is the skill to analyze languages which forms a major part of computational linguistics. Also, I am very eager to know about the latest technologies in the field of computational linguistics.

Given an opportunity, I would also love to learn hip-hop dance!","new skill, could learn, would, ","learn new things, would also love, would love, new skills, major part, learn hip, latest technologies, hop dance, curious person, computational linguistics, analyze languages, first skill, always eager, learn, also, skill, eager, question, opportunity, nature, myriad, know, however, given, forms, field, brought, "
150,Are you a self-motivator?,"yes, I think i am a self-motivator, let me tell you about my experience ,when i was in 12th standard i didn't study properly and got less marks but inside i knew i could have got a good score ,after that in engineering i keep on motivating myself. That is how i got somewhat better score.","self, motivator, ","got somewhat better score, got less marks, good score, study properly, 12th standard, got, yes, think, tell, self, motivator, motivating, let, knew, keep, inside, experience, engineering, could, "
151,Have you ever made a mistake? How did you handle it?,"Yes sure i have made mistakes. The mistake of which i can recall is that of taking a year gap after twelfth standard for preparation of competitive exams. I was not that confident enough for taking the drop and also had no motivation initially. Even i suffered from illness in the mid too. I handle it in the way that i always had good faith in me, prepared hard for the exams never left hope and just went on for it. In the end this dedication gave a fruitful reward too.","ever made, mistake, handle, ","exams never left hope, competitive exams, yes sure, year gap, twelfth standard, prepared hard, motivation initially, made mistakes, good faith, fruitful reward, dedication gave, confident enough, went, way, taking, suffered, recall, preparation, mistake, mid, illness, handle, even, end, drop, always, also, "
152,"If you have problems at your workplace, how and to whom would you communicate it?"," If I have problems at my workplace, I would look for someone who I trust. This could be my boss, my colleague or just friend. Also if I can know someone who has been in a similar situation, I would like to hear about how he/she approached the problem.","would, workplace, problems, communicate, ","would look, would like, similar situation, know someone, someone, workplace, trust, problems, problem, hear, friend, could, colleague, boss, approached, also, "
153,Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.","made, happened, failure, describe, decision, ","team mates worked extra time, generate much progress due, regular progress check meetings, team mates till, progress made periodically, could finally complete, course called introduction, team mates, whole could, team mated, team mate, know much, cross check, us chose, randomly chosen, prevent repetitions, per plan, orally assured, oral assurances, made sense, integrate everyone, going fine, future plan, first year, became clear, 4 students, work amongst, incomplete work, also since, time, team, check, made, course, work, know, also, worthy, without, wanted, verify, trust, think, teammates, said, sadly, promised, project, profession, proceed, problems, part, others, order, one, mistake, met, meet, knowledgable, iiit, however, group, excited, everything, even, end, done, divide, decided, deadlines, control, completed, compensate, communicate, come, charted, bother, believed, bangalore, area, "
154,Describe a situation in which you had to arrive at a compromise or help others to compromise. What was your role? What steps did you take? What was the result?,"Sometimes I compromise if some elder person or the person whom I respect wants something on which I don't agree.
For example, my grandparents love and they didn't want me to go out of the country for higher studies, so I am doing my masters from India only.I tried convincing them but it was all in vain.In the end the result is that we both are happy. ","help others, take, steps, situation, role, result, describe, compromise, arrive, ","respect wants something, tried convincing, higher studies, grandparents love, elder person, person, want, vain, sometimes, result, masters, india, happy, go, example, end, country, compromise, agree, "
155,Are you a self-motivator?,Sometimes when there is no one around to motivate me I turn into self motivator. ,"self, motivator, ","self motivator, one around, turn, sometimes, motivate, "
156,What are your views about further studies?,"Further studies and staying in academics is what I always wanted. Academics always helps us to keep alive the child in us who has to learn, relearn and in the process may discover something that will have a standing impression on society and mankind. Further studies is what I would term as a synonym for research'.'","views, studies, ","process may discover something, academics always helps us, always wanted, would term, standing impression, research '.', keep alive, us, academics, synonym, studies, staying, society, relearn, mankind, learn, child, "
157,What are your views about further studies?,"Further studies and staying in academics is what I always wanted. Academics always helps us to keep alive the child in us who has to learn, relearn and in the process may discover something that will have a standing impression on society and mankind. Further studies is what I would term as a synonym for research'.'","views, studies, ","process may discover something, academics always helps us, always wanted, would term, standing impression, research '.', keep alive, us, academics, synonym, studies, staying, society, relearn, mankind, learn, child, "
158,When was the last time you thought outside the box and how did you do it? Why?,"About a few months back, I along with 3 other batch mates attended a hackathon organised by Mercedes Benz. According to the problem statement of the hackathon we were supposed to build something for the car of the future. So, as was the case with all other teams, the first thought that came to our mind was self driving cars. Most of the teams started implementing their ideas of self-driving cars, but all in vain because lets face it building a self-driving car in 24 hours is next to impossible. At that moment, I parted myself from the traditional way of thinking about innovations and came up with an idea which will enhance the experience of the driver. I came up with the idea of sentiment analysis of the passengers in the car and thought of changing the inside atmosphere of the car based on the current overall mood of the passengers. This worked well and the judges liked our idea and asked to add more feature to enhance the in-car direr experience over the next couple of months.  ","thought outside, last time, box, ","current overall mood, batch mates attended, teams started implementing, car direr experience, self driving cars, driving cars, driving car, worked well, traditional way, sentiment analysis, problem statement, mercedes benz, lets face, judges liked, inside atmosphere, car based, build something, 24 hours, next couple, months back, hackathon organised, first thought, teams, self, experience, car, thought, next, months, hackathon, vain, thinking, supposed, passengers, parted, moment, mind, innovations, impossible, ideas, idea, future, feature, enhance, driver, changing, case, came, building, asked, along, add, according, 3, "
159,Are you a self-motivator?,"Yes, I am a self-motivator. I always think how the better or stronger version of myself would do a particular work and tend to be that person which is a big self motivating technique that allows me to be motivated every time. I always evaluate any performance by comparing my previous performance with my current performance and this motivates to be a better version of myself. It is one of the skills which I think plays an essential part in driving me towards success.","self, motivator, ","big self motivating technique, motivated every time, towards success, think plays, stronger version, particular work, essential part, always think, always evaluate, previous performance, current performance, better version, self, performance, better, yes, would, tend, skills, person, one, motivator, motivates, driving, comparing, allows, "
160,How do you handle change?,I have learned to be quite accepting of change and am always quickly ready with new plans to handle the changed scenario.,"handle change, ","always quickly ready, quite accepting, new plans, changed scenario, learned, handle, change, "
161,What are the qualities that you seek in your manager?,"Smart, Cooperative, Friendly, Understanding, Strict (sometimes), Someone who acts like a leader and not like a boss. ","seek, qualities, manager, ","sometimes ), someone, acts like, like, understanding, strict, smart, leader, friendly, cooperative, boss, "
162,What do people most often criticize about you?,"I am not very social, which i hear a lot of times from my friends.
I am introvert so i avoid going into social gatherings. I have been criticised for this many times.","often criticize, people, ","avoid going, social gatherings, many times, times, social, lot, introvert, hear, friends, criticised, "
163,Why shouldn't I hire you?,I am very good working alone but sometimes not so good working in teams. But i am trying to pick that up. My 2 yr work experience has taught me a lot.,"hire, ","2 yr work experience, good working alone, good working, trying, teams, taught, sometimes, pick, lot, "
164,"Have you worked with someone unprofessional, how did you handle it?","Not sure, if I can call it unprofessional, but my team 'sanskriti' the team of cultural Committee of the college and my other team -'Sahyog' the team of Mentorship Club of the college was a bit unprofessional. Handling such a team was a little tough as it use to happen many times that we have a meeting and then we come to a conclusion and the tasks are allotted to the juniors with some deadline dates. but they are not finished by that time, and many time, youhave to come forward, and either make it done by other set of juniors or sometimes do it by your own.","someone unprofessional, worked, handle, ","happen many times, team -' sahyog, mentorship club, many time, little tough, either make, deadline dates, cultural committee, come forward, bit unprofessional, team, unprofessional, time, come, youhave, use, tasks, sure, sometimes, set, sanskriti, meeting, juniors, handling, finished, done, conclusion, college, call, allotted, "
165,Why should you be hired from outside when someone could be promoted within the same organisation?,The person who is already within the organization is knowing the organization better and is a valuable resource. But if I get a chance I will definitely be putting more efforts to make the position successful in terms my efforts and proving my capabilities.,"someone could, promoted within, outside, organisation, hired, ","valuable resource, position successful, already within, organization better, organization, terms, putting, proving, person, make, knowing, get, efforts, definitely, chance, capabilities, "
166,What do people most often criticize about you?,I am generally good to everyone and try to make them and myself happy about any stuff we talk about. When i have any quarrel or fight with anyone i excuse them after sometime. But the other person sometimes take advantage of this quality of mine and starts or makes a new issue and fights back. ,"often criticize, people, ","person sometimes take advantage, new issue, generally good, fights back, try, talk, stuff, starts, sometime, quarrel, quality, mine, makes, make, happy, fight, excuse, everyone, anyone, "
167,How will you perform under pressure? Will it affect your performance?,First of all I will not allow things to go so wrong so as to create some sort of pressure. Now if the pressure starts to build up then I will make use of my time to the best of the ability  to handle this pressure. Yes it will affect some  my performance but not very much.,"pressure, performance, perform, affect, ","make use, allow things, pressure starts, pressure, yes, wrong, time, sort, performance, much, handle, go, first, create, build, best, affect, ability, "
168,Have you ever made a mistake? How did you handle it?,"There have been many mistakes but none too serious to comment here. In general, when I make a mistake and if it affects my negatively, I try to be positive and make it right in whichever way possible.","ever made, mistake, handle, ","whichever way possible, many mistakes, try, serious, right, positive, none, negatively, mistake, make, general, comment, affects, "
169, Why shouldn't I hire you?,I don't give up easily on a thing. I try to explore all the avenues before calling it quits and sometimes it may result in time wasted. I realise that sometimes it's easier to give up because another way exists but I have a tendency to explore everything on a particular approach. I am trying to improve over it by taking it easy on myself if I don't complete a job and switch to next. as I am trying to realise on how wasted efforts are costlier. I have a short temper if work doesn't happen as it was supposed to happen. Earlier I would get worked upon very small things but now I have started practicing meditation to smoothen my transition and be more patient.,"hire, ","would get worked upon, started practicing meditation, another way exists, wasted efforts, time wasted, small things, short temper, particular approach, may result, explore everything, explore, work, trying, try, transition, thing, tendency, taking, switch, supposed, sometimes, smoothen, realise, quits, patient, next, job, improve, happen, give, easy, easily, easier, earlier, costlier, complete, calling, avenues, "
170,Give me an example of a time when you had to be quick in coming to a decision. What obstacles did you face?,"I was captain while I was at school and one day, along with a group of friends, I bunked Science class. Our teacher knew that we had bunked but she didn't know I was there too. So next class when she punished the rest, I owned up, on my own. She was surprised and told me that technically I had to lose my captaincy but since I was being honest when I could have easily gotten away, I get to keep it. ","time, quick, obstacles, give, face, example, decision, coming, ","easily gotten away, bunked science class, next class, teacher knew, one day, bunked, told, technically, surprised, since, school, rest, punished, owned, lose, know, keep, honest, group, get, friends, could, captaincy, captain, along, "
171,What can you do better for us than the other candidates for the job?,"My friends and teachers told me that I am very good in exploring new things to solve a problem, and that part is very useful when we stuck with some problem, and we need out of the box thinking.","us, job, candidates, better, ","exploring new things, teachers told, box thinking, useful, stuck, solve, problem, part, need, good, friends, "
172,Why shouldn't I hire you?,"My commitment can be a pain sometimes. I have worked throughout the night multiple times to get my deliverable complated. In such cases, i might bug everyone related to the product / system. ","hire, ","might bug everyone related, night multiple times, worked throughout, pain sometimes, deliverable complated, system, product, get, commitment, cases, "
173,Why should you be hired from outside when someone could be promoted within the same organisation?,I am applying as a fresher. So I don't think there is anyone with the same skill set who is below me in the organization.,"someone could, promoted within, outside, organisation, hired, ","skill set, think, organization, fresher, applying, anyone, "
174,What is the biggest challenge you have faced so far?,The biggest challenge I have faced so far is to not worry about things I can't change/ do anything about.,"biggest challenge, far, faced, ","biggest challenge, worry, things, far, faced, change, anything, "
175,How do you define success and how do you measure upto your own definition? ,"Success is in accomplishing tasks that would benefit a lot of people around you. I believe happiness is the unit of success. Accomplishing tasks against odds is the best form of success.

I am still in the pursuing stage 
","measure upto, define success, definition, ","would benefit, pursuing stage, people around, best form, believe happiness, accomplishing tasks, unit, success, still, odds, lot, "
176,How do you handle change?,"It is said that change is the only constant in life, which is funny because it takes time to adapt to change. I am an optimist; so any change that occurs, I generally see it as a good one. But, more often than not, the opposite happens. I guess, to answer the question, all I can say is that I try to keep an open, unprejudiced mind about why the change is taking place and try my best to adapt to it in ways that benefit me.","handle change, ","unprejudiced mind, taking place, takes time, opposite happens, good one, generally see, ways, try, say, said, question, optimist, open, often, occurs, life, keep, guess, funny, constant, change, best, benefit, answer, adapt, "
177,What was the toughest decision you ever had to make?  ,"I dont think I have made any such decision in which I was never sure about. I have some short term goals and some long term goals. I am felxible enough to mould my goals when it is utter necessity. Also, I am rigid enough, to make sure that I achieve what I want in life. So, I was never unsure about any big decisions I made in life.","toughest decision, make, ever, ","short term goals, long term goals, utter necessity, rigid enough, never unsure, never sure, make sure, felxible enough, dont think, big decisions, goals, want, mould, made, life, decision, also, achieve, "
178,What has been your greatest leadership achievement in a professional environment?,"When I used to work at Opus Consulting Solutions, we had to give a project demo to the clients. On the previous day, a colleague updated the common code repository with her own local code, which caused the integrated code to fail. Thus, one day before the client meeting, the entire code was all over the place and was throwing exceptions. My manager asked me to do whatever was needed to get things to work. So, I had to communicate with the entire team to rollback to a previous state, but even then we were facing major integration problems. We had to re-integrate everything and finally we succeeded and got a clean error-free build. Communicating with the entire team during such a dire situation and trying to help each other out with whatever was needed really helped me in realizing the true meaning of leadership.","greatest leadership achievement, professional environment, ","facing major integration problems, opus consulting solutions, common code repository, needed really helped, local code, integrated code, entire code, true meaning, throwing exceptions, project demo, previous state, previous day, one day, manager asked, integrate everything, get things, free build, entire team, dire situation, colleague updated, client meeting, clean error, needed, work, whatever, used, trying, thus, succeeded, rollback, realizing, place, leadership, help, got, give, finally, fail, even, communicating, communicate, clients, caused, "
179,Give me an example of a time when you had to be quick in coming to a decision. What obstacles did you face?,"I was captain while I was at school and one day, along with a group of friends, I bunked Science class. Our teacher knew that we had bunked but she didn't know I was there too. So next class when she punished the rest, I owned up, on my own. She was surprised and told me that technically I had to lose my captaincy but since I was being honest when I could have easily gotten away, I get to keep it. ","time, quick, obstacles, give, face, example, decision, coming, ","easily gotten away, bunked science class, next class, teacher knew, one day, bunked, told, technically, surprised, since, school, rest, punished, owned, lose, know, keep, honest, group, get, friends, could, captaincy, captain, along, "
180,Why shouldn't I hire you?,"My commitment can be a pain sometimes. I have worked throughout the night multiple times to get my deliverable complated. In such cases, i might bug everyone related to the product / system. ","hire, ","might bug everyone related, night multiple times, worked throughout, pain sometimes, deliverable complated, system, product, get, commitment, cases, "
181,What strategies would you use to motivate your team?,"When working in a team I would generally divide the question into parts and will try to know different approaches for finding a solution or an approach to find a solution by asking other members to know and research on each part. After that, I will ask people for inputs on each part of the question and discuss various ideas provided by them and would go for the best possible solution. I would then join all the parts together with my team such that nothing is left out and getting the solution to the given problem.","strategies would, use, team, motivate, ","discuss various ideas provided, would generally divide, know different approaches, best possible solution, would go, given problem, ask people, parts together, would, solution, know, parts, working, try, team, research, question, part, nothing, members, left, join, inputs, getting, finding, find, asking, approach, "
182,Describe a decision you made that was a failure. What happened and why?,"Once we had to organize an event in our college. It was again a team work. We sat for a week together and planned to organize that event. But due to lack of coordination the event was not successful and we felt very bad. The day of our event there was miss communication and chaos. As a team we failed. It was for the first time, there was such an event and it was not that successful.","made, happened, failure, describe, decision, ","week together, miss communication, first time, team work, team, successful, sat, planned, organize, lack, felt, failed, event, due, day, coordination, college, chaos, bad, "
183,What are the changes you would like to bring in this institute?,There needs to be a push to the cultural sctivities in the institute like formation of clubs or forum for different activities. That's the one thing that lacks right now.,"would like, institute, changes, bring, ","institute like formation, one thing, lacks right, different activities, cultural sctivities, push, needs, forum, clubs, "
184,Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.","made, happened, failure, describe, decision, ","team mates worked extra time, generate much progress due, regular progress check meetings, team mates till, progress made periodically, could finally complete, course called introduction, team mates, whole could, team mated, team mate, know much, cross check, us chose, randomly chosen, prevent repetitions, per plan, orally assured, oral assurances, made sense, integrate everyone, going fine, future plan, first year, became clear, 4 students, work amongst, incomplete work, also since, time, team, check, made, course, work, know, also, worthy, without, wanted, verify, trust, think, teammates, said, sadly, promised, project, profession, proceed, problems, part, others, order, one, mistake, met, meet, knowledgable, iiit, however, group, excited, everything, even, end, done, divide, decided, deadlines, control, completed, compensate, communicate, come, charted, bother, believed, bangalore, area, "
