Answer,Followup Question
I was the head prefect of my school and that has been my greatest leadership achievement to control whole school right from fifth to tenth all students with the help of other prefects and vice prefects.,Are you a good in the life?
"Hypothetically speaking of course,I will give it my all.One of the greatest achievements for me in life is what I do.I put work above personal life and even family at times.So,no matter where I work,as long as I find the job interesting,I give it my best.Even if this means taking work home.Or working insane hours,I'll still do it.And do it gladly.I love learning--which means that if there's anything I don't know,I'll ensure that I learn it and quickly at that.Which is what's needed in today's world,isn't it?Most people move on to management because at one point,they don't want to learn anymore.Whereas I really like to.My only problem is that I tire of things quickly.Within a couple of years,I'll probably be looking for something new because I'd be bored of this.Stagnation is anathema to me.",What do you a the relationship?
I read a lot. I also write and draw. I sometimes work on non-work related passion projects. I also read a lot of articles online on various topics that I am interested in.,What do you a the life?
"If I could relive the last 10 years of my life, I would instead of focusing just on my academics, I would also like to give time to other things which I didn't. I was a good football player in my childhood and now a days I feel I should have continued playing football. I am also a good swimmer. I would like to to better in sports. Also I think I would spend more time making moments with my family and friends which I would remember for my life. As far as academics is concerned, I would like to practically do what i am learning theoretically. In my B.Tech. I studied a lot by later in my graduation I realized that I lack practical implementations. While I was working in SAP, I felt my practical knowledge could have been better and since then I am more focused on practical implementations rather than just theory.",What do you handle the line?
"I am definitely a risk-taker. One cannot move up the ladder of success without taking risks. Having said that, I take risks only after assuring that the damage is minimal in case I fail. I like taking risks as that will put me out of my comfortable place and give me new experiences. Also, risks make me work harder.",Are you a good in the life?
Me being obsessive over cleanliness. Sometimes about me being angry. They criticize mostly on me trying to be a leader in everything and taking responsibility. They criticize about me helping people though my help isnt valued. I am often criticized for being over sincere.,Are you a good sincere? in the job?
"The biggest problem with our species is that rationality takes a back seat when emotions come into the picture. Emotions, I'd say, are our greatest strength and weakness. The thing that binds us together and makes us empathetic, is the same thing that makes us gullible and drives us to make irrational decisions. Back in the my undergraduate days, we had to raise funds for our college tech fest. It was decided that we would go from shop to shop in one of the busiest lanes of the commercial street to amass money for our technical fest. We soon found that people were neither motivated nor inclined to donate money for our cause. It was a tough and necessary realisation. We went back to our drawing boards. We had to come up with a plan. We had to identify with the people, connect with them, conjure up in their minds ideas and images that would aid our cause. School, education and children. These words conjured up old forgotten memories in the young guys and thoughts of grandchildren in the old menThey were our target demographic. The typical shop-owner, between the age of 35 - 60. And that is when the appeal of emotions struck us. As part of the events that were planned, we included a state level quiz for school students. This would later turn out to be our silver bullet. From then on out, we approached prospective benefactors not with a view to support our tech fest, but with a plea to help us host the state level Quiz, which in turn was part of the whole fest. The response was beyond what we had expected. People were more than willing to donate and even sponsor the event and the tech fest when we talked about school children and education. Appeals to emotion seldom go unanswered.",Why do that?
"I developed a JavaScript library that manipulates the web elements using the data retrieved from accelerometer and gyroscope of smartphones and using which, the elements on the web page was made to simulate real-world shadows with an imaginary light source.",Why do you want to make the life?
My example of creativity is to accept new ideas and support them created by others like me and my friend did a project regarding percentage display of battery using arduino uno which was my friend's creative idea. Similarly I was current working on a creative project regarding solar energy harvesting and pollution monitoring.,Why do you have a a a do?
"People often criticize me about my presence of mind and humor. I guess these two will make our day to day work much easier and better. People also trust me for the challenges I take to complete the assigned work. I was my teams favorite when I used to work in my previous company, you can refer to my linkedIn recommendations as proof of concept :.",Are you ready the fan
"I like master in communication skill. This skill is very much needed. This skill is just not for to communicate and express. This skill will help you to create a good character , convinced or influence with it. How to communicate to other that describe how confident you are.",What do you a the life?
"There have been many mistakes but none too serious to comment here. In general, when I make a mistake and if it affects my negatively, I try to be positive and make it right in whichever way possible.",Do do you a me?
"Many instances for me on this. A Client, wont name, slammed our tech product and heavily criticized it. We made improvements and reached out to him again, only to find out he did that for our own good. Such things happen and these people just know how to react.",What do you able to angry?
"According to me, job satisfaction covers all - the quality and quantity of work, salary, company environment and others. Yes, cooperation and adjustment is needed in a company.",Are you a a confidence?
"Strengths : hardworker, positive thinking, honest, quality work. Weakness : Managing time, Communication skills",Do do you have a inspiration?
"Under pressure, I have been flustered at times. But this goes away in a while. When in pressure, in the beginning, it takes me time to get used to that kind of an environment, because usually I keep a calm mind and remain determined. So, I would not say that it affects my performance, because I hate disappointing people and also myself. So, I will make sure that I achieve what I want to despite the odds.",What do you a the relationship?
"I am definitely a risk-taker. One cannot move up the ladder of success without taking risks. Having said that, I take risks only after assuring that the damage is minimal in case I fail. I like taking risks as that will put me out of my comfortable place and give me new experiences. Also, risks make me work harder.",Are you a good in the life?
The day I came to take admission in IIIT Bangalore I had received a mail from IIM Bodhgaya for admission. The mail had that I had to either pay the admission fee within 2 days or my seat will be passed on to the next person who is in the waiting list. The main obstacle I faced was that I was still not repared to decide so as to what carrer choice I wanted to make. That was time when I had to make a quick decision.,Why do that?
"I am a smart and hardworking guy and I do my work with dedication. In whatever team I deployed, I would understand what the project is. Then I would contribute technically to the project by completing the tasks given to me. I would try to suggest new ideas and ways of doing things to make the project better. I am a friendly and social guy and can work and collaborate with other people easily. I would maintain good relations with others and would help them whenever possible. I would also be active in cultural events apart from my technical work. In my past as well I being in an active participant in cultural events and have been doing good in academics as well.",What do you a the life?
"I am an organized persom.when it comes to studies or work, i will plan my schedule and completes it accordingly.Not only work or studies,but i also plan my regular activities and try to complete it accordingly.",What do you a the life?
"A recent difficult situation I had faced was that of non cooperative team members. We had to write an open book, take home exam and we were in groups of three. We had to stay back during out holidays to complete the exam and one of my teammates refused to do so because she felt homesick. Initially, I was upset and stressed out because we had to complete the exam and there were only two of us and it counted for 50 weightage in a four credit course. That teammate was one of my best friends so that made it all the more difficult. However, I decided to compartmentalize. I decided to take matters into my hands, work hard and attempt to do my best without that teammate. In the end, I was successful and we managed a good grade.",Are you a good know?
"I am a risk taker. After I failed to clear JEE first time, though I had some other good college option, I risked taking a year drop. After an year, I failed to clear JEE again, but ended up in a better college which I wouldnt have got the first time. I like to take risk, because, whatever might be the outcome, I dont like to give up before even trying it.",Are you a good in the life?
"I believe that my biggest strength is my ability to gel and mix well with people. I have a lot of experience of working in teams and groups as well as heading them. My adaptability is another one of my strengths as I keep myself updated and can adapt quickly. This comes in handy in a lot of places, especially in a fix where we need a fresh outlook. I also don't loose my cool easily in crunch situations and have been a part of many organizing committees and have faced difficult situations. My biggest weakness id say is that i become a bit naive and headstrong. Both these form a dangerous pair but along the course of time I have come to realize that these weaknesses, when harnessed properly and at the right time can form your strength, especiallly while dealing with people and negotiating.",Are you a good in the life?
"I handle change by not looking behind, staying optimistic and most importantly by having faith which helps me stay hopeful.",What do you a the life?
"When I was in company , we had last day to finish our target . We started our day with a small meeting and we discussed how things can be done on time . And then we proceeded as par our plan . We were able to complete significant amount of work during office hours but It was not enough . We extended our working hours and we manage to get things done . At the end everyone was satisfied with his or her efforts .",Why do you think that?
"If I have a problem with the work, I would talk to the manager or any other concerned person. I would just be honest about it and try to be subtle.",What do you handle the line?
The biggest challenge so far has been fitting in. When I was young I had absolutely no problem regarding this matter. I could easily make friends with people much younger than me or with people much older than me. However when teenage set in things changed. I could make friends easily but Those friendships were superficial and I felt that I am different from everyone else and its bad. However now I am almost over it and I get along better with people. This was the biggest challenge so far.,Why do that?
I do not have a particular instance. But many times the principle innocent until proven guilty' principle which i follow hasnt been true.',What do you a the life?
Not yet as there is lots to achieve in terms of gaining knowledge and excellence,What do you interested
"I was totally new in data science field. I like this area but i don't have that much idea about it. But I have to select specialisation within one day. I don't have sufficient time to think over that. I was completely new in this field. I am so much confused and don't have any idea about anything. So, I communicated with seniors and faculty members to know that what is actual going in each subject. After basic idea of each course, i started surfing about details of each topics on google. After getting clear idea about everything i selected my liking specialisation.",Are you a good in the life?
"Parallel Activities ? I once piled up a lot work and later repented it so basically I had to attend my Golf lessons 8AM-10AM then come back, have my breakfast and then prepare for a Olympiad I was selected for. Then Go out with my family can't ignore that cause Mom-dad think that I'm too secluded followed by Completing Some unattended stuff. Might sound lame but, I'm a easy going person so...everything was easy-peasy to me",What do you a the relationship?
I don't communicate with people that much and I am kind of introvert.,What do you know the life?
Two sided people make me angry. They would say something in front of you but behind the scenes they would do something else. I have experienced it in during my internship.,Why do do you the
"We have took part in a hackathon and our team needed to work on the project for 24 hrs, me being the team lead had to manage the work in the limited time. I have distributed the work according to the capabilities of the person and made sure that the work being done is perfect. we have completed the project within the deadline and they we really satisfied with the idea and the work. We won the hackathon and won the first prize, which made me and my team the best among all the teams that have participated fro Bangalore .",What do you want to this?
I can be an asset to this organisation by contributing my knowledge and skills whenever and wherever its required. I will put my hard work and full dedication to achieve the goal and can make good interaction with people in organisation so as to create a good understanding to work together efficiently.,What do you a the life?
My greatest strength is my quick learning capability. This helps me to grasp things quickly and thus gives me extra time to do my job more elegantly. This way it helps me to perform.,Why do you a a come
I am leading my current project group. We are group of 8 building small prototype of facebook. The workload was divided among all group members with me as the group lead and coordinator.,Are you a good in the life?
"Each and every single minute in this corporate world is important for a company to survive with the competition.As the company has put its trust on me , I will put my efforts to as much extent as I can to keep my company at top position. So each and every minute is valuable to me at work.",What do you a the relationship?
"Yes, I am. I constantly push myself to new tasks and challenges that I set up for myself. I sometimes need a little push to start off though, but that is very rare.",What do you get a fan to find the beginner?
"The last project I did was to implement a IP asset management portal for my Institute. During the course of our project, we had to deal with a lot of changes from the customer side. Some of the request required the complete redesign of the software architecture. But our team was able to incorporate all of the changes, with a lot of hard work and a lot of sleepless nights",Why do that?
I took the lead in a mage processing project and the result was completion of task as required before the deadline date.,What do you a the life?
"I an not a kind of person who would stay calm in my room. I would first like to make something for myself and try hard to impact the world around me. I always dream too high, constantly push my boundaries, so I feel I would really make me an asset for the organisation.",Are you a good in the projects?
"I have been a firm believer of sound class room training before you undertake a project. In my first job as a commissioning engineer, I was shipped off to site in my third month. I felt my manager just doesnt want to invest in my training and thus complained to my HR. But little did I know that my manager had planned a detailed session for me once i returned. He felt that unless i have an appreciation of the product and the system, i will only be confined to academic knowledge, which is true. The training was extremely useful and i could relate far better with my domain thereafter.",Are you a good in the life?
I read a lot. I also write and draw. I sometimes work on non-work related passion projects. I also read a lot of articles online on various topics that I am interested in.,What do you a the life?
"I expected a GATE rank below 100 when i started preparing for GATE but unfortunately I got 498 . I was little disappointed at that time but later on i realised that you should respect what comes to you . There is always something good in decisions which life takes for you . I got admission in IIIT B and after coming here i felt i am at a right place . But , i will give GATE again and will get below rank in nearly future .",What do you a the life?
"Once we had to organize an event in our college. It was again a team work. We sat for a week together and planned to organize that event. But due to lack of coordination the event was not successful and we felt very bad. The day of our event there was miss communication and chaos. As a team we failed. It was for the first time, there was such an event and it was not that successful.",What do you a the relationship?
My primary ambition when I was a little younger was to become a movie director. I think I would have gone to director classes to pursue my ambition. I would also like to exercise everyday and be more fit. Save more money. Reducing the amount of time that I have wasted which was literally unnecessary. Study more books related to computer science.,How do do you do me?
"After my post-graduation,i would like to work for some software company so i will not go for any higher studies.",Why do i do you the
I would have spent little more time with my family.I would have tried to handle some of the problems in a different way.I would have set even higher goals for my life.,What do you a the life?
"If there occur situations when I lose hope or get down, I quickly get back to form and try completing my unfinished work. I try to encourage myself in doing and exploring new things. I am a very good learner, and if something really interests me, I don't leave it. I try to finish all the work in time and get started with new ones. A plus point in me, that I believe, is that since I am a musical person, I tend to have more concentration power than my peers non-musical ones.",What do you handle the line?
"I would first enjoy my life rather than putting all my time for studies. I want to spend my time on sports. I would take batminton coaching. I would learn dance, both western and traditional. I had hurt my parents many times. so, i would rectify all my mistakes. Take good decisions. I would put good effort in things what I am doing. Help my parents in many things rather than escaping from work.",Are you a good the life?
"If I'm new to the place, my first step would be confronting the most hospitable guy for guidance. Given that I'm a bit nervous about talking with new people, I'd love to interact withe them preferably via any social networking site. If not that, then maybe directly confront them with the situation. I'll take it slow, maybe first get to know them and then present the problem.",What do you handle the line?
"Smart, Cooperative, Friendly, Understanding, Strict sometimes, Someone who acts like a leader and not like a boss.",Why do you see to make that?
I couldn't finish my Bachelor's Degree. However I compensated the lieu by self-learned demanding skills the web industry currently.,Are you a good in the life?
My example of creativity is to accept new ideas and support them created by others like me and my friend did a project regarding percentage display of battery using arduino uno which was my friend's creative idea. Similarly I was current working on a creative project regarding solar energy harvesting and pollution monitoring,Why do you have a a a do?
"Yes, well it depends on how do we consider 'being successful', in my case since I am happy with whatever i have rather than being unhappy for what i don't have.",What do you get a good hard?
"I define success as an achievement of your goals which also adhere to your ideals. My initial interests were in the field of Chemistry followed by Computer Science. Given that I am in a good institute which is well-known for Computer Science, I would say I am partly successful. I don't consider myself completely successful as I couldn't pursue my first interest.",What do you a the life?
I do not have a particular instance. But many times the principle innocent until proven guilty' principle which i follow hasnt been true.',What do you a the life?
I will try to learn and extract as much as possible from my job. It will benefit me and also my company. I have good logical thinking power and I can work hard. So if there are situations to stay for long time and if there is any critical problem I can use my logical ability to solve it better. I can work in a smart way as an optimised algorithm. I am a good team player so if there are any hurdles in the middle of the project I can manage the conflicts and I can make the team work.,Are you a good in life?
I don't mind settling in different place for relocation as much as they can provide me basic facilities like food and shelter. I don't feel there could be a problem in relocation,What do you know the life?
I only regret my decision of having a bad company during the second most crucial phase of my life - the competitive exams preparation and also always looking for some external motivation when none was required. I actually developed a habit of procrastination which I would regret my entire life. My performing at less than 10 of my actual capabilites is the just consequence of that.,Are you a good in the life?
"To err is human Yes, I have indeed made some mistakes in the past from which I have learnt a lot. The mistake I made was trusting my team mates blindly to finish their work on time without crosschecking their progress. I handled it cooly by not blaming that person but by delegating the work amongst the others including me. Though we had to work overtime to meet the project deadline, it taught me a lesson for life - Don't trust blindly. Always demo, discuss and cross check the progress when working as a team.",What do you want to them?
"I want to be successful. Whenever you feel that you are successful, your carrier graph will be decreased. But one more important thing is that you don't have to be overconfident and under confident. You just have to be confident in your work. Try and try will make yourself to be in path of success. Knowledge will never end. You must have to be in learning phase even if you know about it. Because no one is perfect.",Why do you think about to of the projects?
"My strengths are: I am loyal, trustworthy person. Also, quick learner, liable, peace loving person, proactive. My weaknesses are: I trust people easily.",Why do do you think
"I keep myself clam and try to control myself. But If I think I am right, I try to give logical reason about what I am doing",What do you a the life?
"Confidence is planning after knowing the existing capabilities, resources and situations. Overconfidence is planning assuming the best possible capabilities , resource and scenarios.",What do you want to you?
"My initial plan for post-graduation was to join MS by research in IIT Madras. But I have failed in my first attempt due to some medical issues. So I was very determined to give it a second try. Then I took admission in IIIT-B for M.tech. I planned to prepare for the interview along with my course work during first semester. But unknowingly, I got into some bad company and ignored the preparation. I realised my mistake when I finally got the interview call again. It was too late by then. I got depressed because of this and I made a lot of effort to motivate myself again and do my best in my M.tech and work on my area of interest. If I achieve the goals I've set for the next year,hopefully I'll be pursuing my Ph.D too .",Why do do you to the time?
"My friends and teachers told me that I am very good in exploring new things to solve a problem, and that part is very useful when we stuck with some problem, and we need out of the box thinking.",Do do you have a the schedule?
"First of all this job is related to my interest as what I actually wanted to do. And second at this place I can be beneficial for both the company and me, as gaining most out of it.",Why do you get the problem?
"The first thing that comes to my mind, is the inter-school event in which I had participated during my 11th Std studies. We were a team of 5 students, and we had to pick a theme for fighting climate change. Global warming was the buzzword in those days. We chose 'Sustainable Development' as our theme, and made models to depict different ways in which sustainable energy can be generated. The entire event was almost one month long and the five of us enjoyed it as well as learnt a lot, as it was our first experience of the 'professional' outside world.",Why do you find the biggest
So we me and one of my friends were working on a project under a professor. The friend was not from the same batch as mine so managing our time table along with the academics was a hard time. Sometimes I was available and he wouldn't because of his tight schedule and sometimes the other way round. It was getting difficult for us to cope up because of the timing mismatch. Later to overcome it by deciding that we won't be doing it anytime of our choice but we'll fix some time may be 2 hours per week or something and we'll sit together to meet the tight deadline.,What do you a the relationship?
My greatest strength is my quick learning capability. This helps me to grasp things quickly and thus gives me extra time to do my job more elegantly. This way it helps me to perform.,Why do you a a come
"The hardest decision I've taken is not at work but is was in my life its like choosing between IIT-R and IIIT-B. Its a kind of decision you can't take many people advise in this thing because you know it is at the last our Indian society which think IIT's as an top notch institute there's nothing better than that. So i was a very hard for me to decide. And i've come in this decision by talking to people who were currently studying here and reading many articles on internet. And result is good, it's like I cant compare them because I've lived only one experience but according to me the decision was paying off.",Why do that?
"Yes when we working in group, we discussing on the problem and how to solve the problem",Why do you get the job?
"Yeah. I remember that time. Once I was building an android application for a customer, and we had a deal to make some 4-5 requirements within 4 months. It was kind of a contract. Now, those 4 months were over and I had completed all the required functionality in the application, but the customer did not seem to be happy. He did not like the workflow of a feature. I had no problem with changing the workflow for once, but the thing was that he actually didn't know what he wanted So, I went ahead with changing the feature's workflow so many times just to make sure I get to the one he was satisfied with. It took me a week more to fin and implement that and I ended up including some more extra features, which he also liked.",What do you a the relationship?
I enjoy work as much as other things I like. I would like to spend quality time at work and have no regrets on those spent moments. Its a part of my life,Why do you want to that?
I don't mind settling in different place for relocation as much as they can provide me basic facilities like food and shelter. I don't feel there could be a problem in relocation,What do you know the life?
"No. I think for every decision, it seem to be right at that moment. So if will go back in time again, probably I'll make the same decisions. Moreover I think what happens, happens for a reason and I don't want to disrupt the balance of universe.",Why do you think to I be the information?
When I was in 11th my mother had a neurosurgery in which many complications rose. My parents were away and I had my grandfather staying with me. My mother was being transferred to another city where she could be treated well. I had my classes and coaching going on at that time since 11th is a crucial year in academics. I wasn't feeling very well as I am close to my mother and my grades were suffering. So when I got to know the news I checked for tickets on a whim and luckily 2 were empty. Everyone was telling me not to come as it might affect my studies but I wasn't being very fruitful by staying there too. So within that 10 minutes I decided to skip on a test and called up my professors to take the permission and booked a ticket as soon as possible. I feel that it was one of the toughest decisions I had to take as it was between my mental peace and my academics. In the long run I never felt it as a wrong decision even if it was taken in the nick of time.,Why do you get the two?
If I can finish the overtime work within my working hours then its better for me.I will ask him I can work some extra hours in some urgent situation only.,What do you handle the line?
I can learn any programming language since now I am very comfortable with the basics thanks to the experience. Also I am eager to learn machine learning models for high dimensional sparse data. Further i am interested in learning about the usage of GPUs for ML.,What do you a the life?
I would first tell him why he needs the product and how the product would make a difference to his life and how he can't do without the product. Then i would show that i have the skillset to develop such a product,What do you a the life?
I like to think about the situation and at times I do decide to do something that's risky whereas at other times I play safe.,What do you a the life?
I regret not being able to pursue a career in Arts.I feel Engineering and a job in IT is too overwhelming.But I am still trying to do my best in continuing Music as a hobby.,What do you a the life?
"Well there are many till now but mostly related to studies , me not able to clear my iit jee exams twice after my 12th class and then a recent one when i appeared for Gate exam and was not able to get into IIT's.",Why do you want the multitasker?
"I always fail keeping up my diet in order to lose weight, but i have lot of willpower and patience which keeps me going.",What do you a the life?
"My strengths are: I am loyal, trustworthy person. Also, quick learner, liable, peace loving person, proactive. My weaknesses are: I trust people easily.",Why do do you think
"Once we had to organize an event in our college. It was again a team work. We sat for a week together and planned to organize that event. But due to lack of coordination the event was not successful and we felt very bad. The day of our event there was miss communication and chaos. As a team we failed. It was for the first time, there was such an event and it was not that successful.",What do you a the relationship?
"Depends on the work. If I am satisfied and happy with the work, if the working environment is positive and promoting growth, I would stick on longer.",What do you want to the person?
I have a good coding skills in python. So I can code with the minimal expense of memory and algorithicm time. So that is a perk of employing me.,Are you a good in the life?
I take this as a great learning opportunity and I'm excited as I would be working with highly talented and experienced people. I would like to contribute as much as I can while I gain my skill set in the progress.,Are you a good in the life?
"I think, smart work is something where you have to think out of box.Smart work is taking innovative steps to complete the goal.By smart work, a person produce good results with less amount of work , but his solution to the problem has to be very unique. I think hardworking is something ,like doing a work continously or doing the work in a traditional way.By hardworking, a person may produce good results, but a lot of effort and time will be wasted.Since,most of the works are done in traditionl way,there is no new thing.",Are you a good in the life?
My strength is my family and my weakness is my postponement mentality,How do you a come to?
"well in easy words, confidence is a believe in our own capabilities in respect to certain job and being assured that i can do it whereas overconfidence is'only i an do this job,and no one else can'.",Are you a a programmer?
"Time is of great essence at work. I have always believed in being on time'. Apart from being punctual, managing time is also very important. As, we know Time and Tide wait for none, so I respect the time that I have and try and utilize it to full.'",Why do you find in politics?
Yes My first love I regret falling in love. It destroyed me for quite sometime as it worked out very horribly. I have not yet completely recovered from it. But its probably for the best. It thought me many important things. Now I am much more careful and smart. Its probably because of that I started working very hard and I am who I am today. Maybe its all for the best. Still its one decision I regret in life.,Do do you have the time?
"I brushed up my basics, did online surfing, interacted with people for having a fruitful exchange of knowledge. I know what exactly the company is looking for and I find those qualities resembling to my till date experience.",What do you a the life?
"Ensuring that my team works together as one, for the project, even though the team members don't really, well, do things together. As part of a course, say, XYZ, we were randomly assigned teammates. In my team, a couple of them had a history which was so bad, that they refused to see each other eye-to-eye literally. By tapping their passion for the project and making them understand the overall outcome, I managed to extract usefulness and productivity thus making the project a success. I didn't really solve their feud. But I manage to make them work together for some time, for a greater gooddeed. This i one leadership achievement I feel has been my greatest.",What do you a the relationship?
"Well this is a very interesting question. I usually dont carry work related stuffs after the office hours, unless it is life threatening :. I want to spend quality time with my family after office hours. Weekends are like my stress busters. I will go for an outing with my family. That will help my to get refreshed and motivated to work again on monday :. Along with that, I will love to maintain my fitness. Being a morning guy I am going to gym before coming to office. which is a",Are you know the the job?
"I used to cheat in exams when i was in high school.Though i used to get good marks i never had a feeling of satisfaction.Then i understood that its because of guilt.worst thing a person would suffer is by guilt.Then i realised that if i copy it may give me benefit for short periods like getting a good grade but in long term it affects us really bad. After realising this i started not to copy,it was difficult in the first unable to get good marks,always finding reasons to copy again,but i kept on with my motive not to copy and from that time i never tried to copy.",What do you a the life?
"I am actually more interested in salary than job.but that doesn't mean that I am not interested in my job. My first preference goes to salary and then job.generally good salary means a good job in a big company but the burden is more.I like to work in big companies even when there are loads of work.job satisfaction is obtained when every aspect of work we do satisfies us which is impossible.so,it is salary that matters more for me.",Are you a good in the life?
"The feeling would be a challenging one as I would think lowly of myself just because of someone else's sheer brillance. But if the person is good enough and knowledgable and of course not egoistic, then I can rather learn a lot from himher.",What do you a good the job?
"There is a quote which goes as, 'The body hates change'. Well, I have seen the quote few years back and realized that our mentality is resistant to change and if we are able to realize that try to change that, then we would be successful in the our field. I am always open to change and I wake up in the morning awaiting changes to my daily routine. That is why I am not a big fan of routine things such as a static time table.'",Why do i do you the
"During my internship last summer, I was working on image data. My goal was to develop a software to examine the image and create a report. I created milestones without fully understanding the complexity involved in creating the project. As a result I encountered some problems during the development of the software and the project was not competed to the client's expectation. The biggest takeaway is that one should end significant time planning the strategy and also have some backup plans in case he original fails.",What did you did the problem?
"I worked for NIMHANS during my last summer. I was involved in developing an app for them. We were team of 2, we used to make sure we developed the best to impress the customers",Are you a good in the life?
I have faced so many challenges but the toughest one is not getting a job but still smiling and doing more hard work to improve me day by day.,What do you a the life?
"i would first try to convince myself with my idea, and try to find out what are the loop holes which would not allow my ideas to be accepted by any person. I would work on that so that i sound more convincing. i would also create a sense of urgency in my client to accept my ide",What do you a money?
"Mostly I don't express my problems to others. I don't like to point at mistakes of others so , Will try to resolve it by myself. Unprofessional behaviour is a part and parcel of the work. So, if it goes to the extremes that I'm not able to handle it then will definetely report to the higher authorities. 90 I'll try to resolve it myself. P.S: I don't like to judge people.",What do you a the relationship?
I would describe my idea and explain him the novelty of the idea. I would request one day and make a presentation of how to implement this idea and how can the organization can be achieved from it. I would explain him the feasibility.,Are you a good in life?
"I only have experiences of my b.tech projects where I was the on the organizing committee for the tech-fest, and we had a deadline pretty soon after the fest. So I had my team-mates who understood the situation and proactively did my part on the project may be I was lucky once.",Are you a good in the life?
I can tell about an incident where I have convinced my friends who happened to be my project mates to take up the idea for our project which they were not willing to initially. I then explained them the advantages of taking it up and they finally agreed.,What do you a the life?
"Absolutely. For me, internal motivation works far more than external motivation ever could. Yes, at first, it may seem like I want some sort of external motivation, but the very end, my heart goes into the work assigned only when my own self pushes me to do it.",Why do you want to make that?
"Yes i am a self motivator.As i keep asking myself of a better self than i am now, and also keep remainding myself of some of the extraordinary struggles of great peoples to keep my moral high.",Why do you get the job?
"yes, I think i am a self-motivator, let me tell you about my experience ,when i was in 12th standard i didn't study properly and got less marks but inside i knew i could have got a good score ,after that in engineering i keep on motivating myself. That is how i got somewhat better score.",What do you a the relationship?
"I am just 21 year old, I have not yet faced major disappointments till now. But I was in disappointment the day I realized that I didnt make it to BITS, IIT . As famous quote says Time Heals Everything. I also realized I am happy in my current college and its no more big disappointment.",What do you a the life?
Two sided people make me angry. They would say something in front of you but behind the scenes they would do something else. I have experienced it in during my internship.,Why do do you the
I have made many mistakes but rectified then and took care that i don't repeat them. And when I see any person facing same problem I helped them in getting out of that problem.,What do you a the life?
"When I was in company , we had last day to finish our target . We started our day with a small meeting and we discussed how things can be done on time . And then we proceeded as par our plan . We were able to complete significant amount of work during office hours but It was not enough . We extended our working hours and we manage to get things done . At the end everyone was satisfied with his or her efforts .",Why do you think that?
"When I work under a person younger than me, I always follow two important things. Teach him from my experience if he is doing something wrong and second thing is to learn many things from him as he is in higher post then me.",Why do you think the most?
"After my post-graduation,i would like to work for some software company so i will not go for any higher studies.",Why do i do you the
"A goal I did not meet was to set my own e-commerce store within 3 months. It was because I failed to manage time with my academics and it ended up being put on the back burner. How I handle it is with the thought of never giving up and that someday I might actually get back to it and I do try to work towards achieving it whenever I have free time, soI don't think of it as a complete failure till I give up on it.",Are you a good know?
"It is indeed very important to gain knowledge and experience in areas which I am interested in to become an expert. So, I may go for Phd if I get accepted to a top notch institution which works on my interest areas.",Are you a good in me?
I want to be a good programmer and also i want to be best fifa player.,Why do you think about of the current
"According to me, job satisfaction covers all - the quality and quantity of work, salary, company environment and others. Yes, cooperation and adjustment is needed in a company.",Are you a a confidence?
I would like my manager to have the quality of hearing and understanding various approaches to a problem rather than giving out their own idea to work on. This would help to approach any matter without much difficulty and getting out the right solution. I would also like them to be understanding situations around them and resolving any difficulties or concerns so that things proceed smoothly and happily which would help in better interactions and team-works.,Are you a good in the life?
"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",Why do you go to work in this?
